question,a,b,c,d,e,answer,split
"다음 글의 (ㄱ) ~(ㅂ) 에 대한 설명으로 옳지 않은 것은?  ### 참고: 우리나라는 국토 면적의 약 70%가 산지로 산지 비율이 높은 편이나, 오랜 기간 침식을 받 아 왔기 때문에 해발 고도가 낮은 산지가 많다. 신생대 제3기 이후 동해안을 중심으로 지각이 융기하는 (ㄱ)경동성 요곡 운동이 발생하여 (ㄴ)함경산맥, 태백산맥 등이 형성되었다. 또한 상대 적으로 해발 고도가 높은 산지는 (ㄷ) 지역에 주로 분포하고, 상대적으로 낮은 산지나 평 야는 (ㄹ)지역에 주로 분포한다. 우리나라의 산지는 형성 원인에 따라 1차 산맥과 2차 산 맥으로 구분하거나, 형태에 따라 정상부에 바위가 많이 노출된 (ㅁ)돌산과 두꺼운 토양으로 덮 여 있는 (ㅂ) 흙산으로 구분한다.",(ㄱ) 로 인해 황해로 흐르는 하천은 동해로 흐르는 하천보다 대체로 유로가 길다.,(ㄴ) 의 북서쪽 사면은 남동쪽 사면보다 평균 경사가 급하다.,(ㅁ) 의 주된 기반암은 마그마가 관입하여 형성되었다.,"(ㄷ) 에는 ‘북동부’, (ㄹ) 에는 ‘남서부’가 들어갈 수 있다.","(ㅁ) 의 사례로 ‘금강산’, (ㅂ)의 사례로 ‘지리산’이 있다.",b,KGK
"다음은 평창군 대표 관광지 소개 자료의 일부이다. (가) 지역에 대한 설명으로 옳은 것은?  ### 참고: (가)평창군 청옥산 ‘육백 마지기’ 일대 는 해발 고도가 높은 곳에 위치한 평탄면에 해당한다. 지명은 볍씨 육 백 말을 뿌릴 수 있을 정도로 넓다 하여 붙여졌고, 대규모의 고랭지 배추밭이 형성되어 있기도 하다. 굽이굽이 굽어진 산길을 따라 차를 타고 올라가다 보면 점점 하늘로 올라가는 기분이 드는데, 비행 기에 타서 바라보는 하늘과는 또 다른 느낌이다.",신생대 이후 지반 융기의 영향을 받았다.,주로 대규모의 시설 작물 재배가 이루어진다.,주된 기반암은 신생대 화산 활동으로 형성되었다.,비슷한 위도의 저지대에 비해 연평균 기온이 높다.,기반암이 차별적인 풍화와 침식을 받아 형성된 분지이다.,a,KGK
"다음 글의 (가)에 대한 (나)의 상대적 특성으로 옳은 것은? (단, (가), (나)는 각각 겨울과 여름 중 하나임.)  ### 참고:우리나라는 더위와 추위에 대비하여 대청마루와 온돌 같은 전통 가옥 시설이 발달하였다. 대청마루는 바람을 잘 통하게 하여 (가) 을 시원하게 지낼 수 있도록 설치되었다. 온돌은 아궁이의 열을 방으로 전달하여 (나) 을 따뜻하게 지낼 수 있도록 설치되었다. 대청마루 는 중부와 남부 지역에 발달한 한편, 온돌은 대부분의 지역에 발달하였다.",평균 상대 습도가 높다.,정오의 태양 고도가 높다.,한파의 발생 일수가 많다.,대류성 강수가 자주 발생한다.,열대 저기압의 통과 횟수가 많다.,c,KGK
서울과 부산에 대한 설명으로 옳은 것은? ### 참고:nan,서울은 부산보다 연 강수량이 더 많다.,서울은 부산보다 여름 강수 집중률이 높다.,서울은 부산보다 태풍의 영향을 많이 받는다.,부산은 서울보다 고위도에 위치한다.,부산은 서울보다 월 강수량의 편차가 크다.,b,KGK
다음중 옳은 선택지를 고르시오. ### 참고:nan,대설로 인한 피해는 강원도가 전남보다 많다.,호우 발생 시의 기압 배치는 주로 서고동저형이다.,태풍은 주로 한반도에 전선이 정체될 때 영향을 준다.,대설은 호우보다 우리나라 연 강수량에 차지하는 비율이 높다.,호우는 태풍보다 재해 경보 발생시 평균 풍속이 빠르다.,a,KGK
다음중 옳은 선택지를 고르시오. ### 참고:nan,황사의 연 발생 일수는 서울이 부산보다 많다.,우데기는 황사를 대비한 전통 가옥 시설이다.,황사가 발생하면 일사량이 증가라고 기온이 높아진다.,황사의 주요발원지와의 최단거리는 부산이 서울보다 가깝다.,황사는 주로 남동-남서 계절풍에 의해 우리나라로 이동한다.,a,KGK
이상 기후로 인해 고랭지 배추 재배 적지가 줄어들은 미래에 대한 추론으로 옳은 것은? ### 참고:nan,한강의 결빙 일수가 늘어날 것이다.,설악산 단풍의 시작 시기가 빨라질 것이다.,울릉도 난대림의 분포 면적이 넓어질 것이다.,해안 저지대의 침수 가능성이 낮아질 것이다.,창원에서 벚꽃을 활용한 축제의 개최 시기가 늦어질 것이다.,c,KGK
다음 중 옳지 않은 선택지를 고르시오. ### 참고:nan,호우는 겨울보다 여름에 자주 발생한다.,대설로 인한 피해를 줄이기 위해서는 신속한 제설 작업이 필요한다.,태풍은 호우보다 선박 피해액이 많다.,2011~2020년의 자연재애 총 피해액은 경북이 경남보다 많다.,2011~2020년 태풍에 의한 피해액은 경기가 강원보다 많다.,e,KGK
다음중 옳은 선택지를 고르시오. ### 참고:nan,호남권에서 가장 큰 도시는 전주이다.,호남권은 영남권보다 인구가 많다.,호남권은 충청권보다 지역내 총생산이 많다.,대전은 충청권에서 가장 큰 도시이다.,영남권에서 가장 큰 도시는 대구이다.,d,KGK
다음중 옳은 선택지를 고르시오. ### 참고:nan,수도권 도시 중 인구 100만 명 이상 도시들은 모두 광역시이다.,충청권에는 행정 중심 복합 도시가 위치한다.,호남권은 영남권보다 지역내 총생산이 많다 (2020년기준).,청주는 대구보다 인구가 많다.,수도권과 호남권은 지하철로 연결되어 있다.,b,KGK
다음중 옳은 선택지를 고르시오. ### 참고:nan,중구는 상주인구가 주간 인구보다 많다.,강동구는 인구 공동화 현상이 일어난다.,중구는 강동구보다 차량의 평균 운행 속도가 빠르다.,중구는 강동구보다 도보로 통근하는 주민 비율이 높다.,강동구는 중구보다 대기업의 본사 수가 많다.,d,KGK
다음은 어느 지역의 변화를 나타낸 것이다. 이 지역의 변 화 모습으로 옳지 않은 것은?  ### 참고:○○ 지역은 농촌을 배경으로 1990년부터 17년간 방영 된 TV 프로그램의 촬영지였다. 이후 서울 대도시권의 확 대와 2019년 서울과 연결된 경전철의 개통으로 지역의 모 습과 주민의 삶이 많이 변화되었다. ,상주인구가 많아졌다.,경지 면적이 감소하였다.,토지 이용의 집약도가 높아졌다,1차 산업 취업자 비율이 증가하였다.,서울로 통근하는 사람들이 많아졌다.,d,KGK
다음중 옳은 선택지를 고르시오. ### 참고:nan,제주는 강원보다 겸업농가가 많다,제주는 경북보다 농가 인구가 많다,강원은 전남보다 경지율이 높다.,경기는 강원보다 경지 면적 중 노지 채소 재배 면적 비율이 높다.,경북은 전남보다 과실 생산량이 많다.,e,KGK
다음중 옳은 선택지를 고르시오. ### 참고:nan,진안은 전남에 위치한다.,진안은 광주보다 인구 밀도가 높다.,여수는 진안보다 서울로의 고속버스 운행 횟수가 많다.,광주는 여수보다 노령화 지수가 높다.,총부양비는 광주>여수>진안 순으로 높다.,c,KGK
"표는 세 시기의 인구 정책 표어를 나타낸 것이다. (가)~(다) 를 이른 시기부터 순서대로 나열한 것은?  ### 참고:(가): •많이 낳아 고생 말고 적게 낳아 잘 키우자 •덮어 놓고 낳다 보면 거지꼴을 못 면한다 (나): •가가호호 아이 둘 셋 하하호호 희망 한국 •한 자녀보다는 둘, 둘보단 셋이 더 행복합니다 (다): •둘 낳기는 이제 옛말 일등 국민 하나 낳기 •사랑으로 낳은 자식 아들·딸로 판단 말자",(가)-(나)-(다),(가)-(다)-(나),(나)-(다)-(가),(다)-(가)-(나),(다)-(나)-(가),b,KGK
교사의 질문 에 대한 대답이 옳지 않은 학생을 고른 것은?  ### 참고:교사: 우리나라는 2018년에 고령 사회에 진입하였습니다. 노년층 인구 비율이 증가하면서 나타날 수 있는 문 제점에 대해 이야기해 보세요. 갑:산업 인력의 고령화로 성장 잠재력이 저하될 수 있 습니다. 을: 노년 부양비가 증가하여 청장년층의 경제적 부담이 커질 것입니다. 병: 연금 및 건강 보험 재정 지출과 사회 복지 비용이 증 가할 것으로 예상됩니다. 교사:그러면 이러한 노년층 인구 비율 증가에 따른 문제 해결 방안에는 무엇이 있을까요? 정:정년 단축을 통해 젊은 세대의 일자리를 늘리는 정 책을 확대해야 합니다. 무: 실버타운을 확대하고 노인을 위한 문화와 여가 시설 을 확충해야 합니다.,갑,을,병,정,무,d,KGK
"다음 글의 (ㄱ) ~ (ㅁ)에 대한 설명으로 옳은 것은?  ### 참고:북한은 남한에 비해 산지와 고원이 많다. (ㄱ) 마천령산맥 과 함경산맥이 분포하는 북동부 지역에는 높고 험준한 산 지가 많으며, 한반도의 지붕이라 불리는 (ㄴ)개마고원이 있다. 남북으로 길게 뻗은 (ㄷ) 낭림산맥을 중심으로 서쪽은 동쪽보다 산지의 밀도가 낮은 편이다. 이와 같은 산지 분 포에 따라 (ㄹ) 압록강, 대동강 등 큰 하천들은 대부분 황해 로 유입되며, (ㅁ) 대동강 하류 일대에 평양평야, 재령평야 등이 발달하였다.",(ㄱ)은 관북지방과 관서지방의 경계를 이룬다.,(ㄴ) 의 일부 지역에는 용암대지가 발달해 있다.,(ㄷ)에는 우리나라에서 해발 고도가 가장 높은 산이 있다.,(ㄹ) 의 하구 지역에는 북한 최초의 경제특구가 있다.,(ㅁ) 은 같은 위도의 동해안보다 연 강수량이 많다.,b,KGK
다음중 옳은 선택지를 고르시오. ### 참고:nan,안성시는 화성시보다 주택 중 아파트 비율이 높다.,안성시는 고양시보다 전체 농가 중 겸업농가의 비율이 높다.,화성시는 안성시보다 유소년층 인구 비율이 높다.,고양시는 화성시보다 제조업 종사자 수가 많다.,화성시와 고양시에는 수도권 1기 신도시가 조성되어 있다.,c,KGK
다음중 옳은 선택지를 고르시오. ### 참고:nan,가평은 수도권 정비 계획에 따른 자연 보전 권역에 속한다.,화성에는 수도권 1기 신도시가 있다.,가평은 성남보다 정보 통신업 취업자 수가 많다.,성남은 화성보다 외국인 근로자 수가 많다.,화성은 가평보다 총부양비가 높다.,a,KGK
다음 중 지역과 체험할 수 있는 활동이 적절하게 연결되지 않은 선택지를 고르시오. ### 참고:nan,연천-협곡에서 카약을 타며 주상 절리 관찰하기,안산-‘다문화 거리’에서 이국적 음식 맛보기,이천-지리적 표시제에 등록된 쌀 생산지에서 농촌 체험하기,춘천- 천연기념물로 지정된 석회 동굴 탐방하기,강릉-석호 입구에 발달한 모래 해변에서 서핑 배우기,d,KGK
다음중 옳은 선택지를 고르시오. ### 참고:nan,합천에는 세계 유산으로 등재된 역사 마을이 있다.,안동은 경상남도에 속한다.,구미는 도청 소재지이다.,안동은 합천보다 노령화 지수가 높다.,구미는 안동보다 청장년층 인구 비율이 높다.,e,KGK
"다음 자료에서 설명하는 지역으로 옳은 것은? ### 참고:이 지역은 과거 석탄의 도시로 이름 이 높았으나, 1980년대 석탄 산업의 사양화와 함께 인구가 크게 감소하였 다. 최근 조령과 석탄 박물관, 레일 바이크등을 활용한. 관광산업에서 지역 경제의 활로를 모색하고 있다.",문경,영주,울진,김천,경주,a,KGK
다음 중 옳지 않은 선택지를 고르시오. ### 참고:nan,광주에는 광(光) 산업 클러스터가 조성되어 있다.,"대전은 연구 개발 특구를 중심으로 첨단 기술 산업이 발
달하였다.","제주는 외교, 국방, 사법 등을 제외한 고도의 자치권이
보장된다.","광주는 제주보다 지역 내 총생산에서 차지하는 1차 산업
부가 가치 비율이 높다.",대전은 광주보다 수도권으로의 접근성이 높다.,d,KGK
다음은 어느 그룹에 대한 이야기입니까? ### 참고:루키 그랜드 슬램'을 최초로 달성함,샤이니,레드벨벳,엔하이픈,빅뱅,트와이스,a,KGK
보기 중 빈칸에 들어갈 말로 알맞은 것을 고르시오. ### 참고:DAWN은 솔로 활동 이전에 [BLANK] 그룹의 멤버였습니다.,엑소,펜타곤,NCT,비투비,비스트,b,KGK
다음은 어느 그룹에 대한 이야기입니까? ### 참고:K-Pop의 제왕'이라고 자주 불리는 그룹,레드벨벳,샤이니,NCT,세븐틴,빅뱅,e,KGK
보기 중 빈칸에 들어갈 말로 알맞은 것을 고르시오. ### 참고:2016년 마마무가 첫 음악방송 우승을 달성한 곡은 [BLANK]입니다.,고고베베,넌 is 뭔들,Mr. 애매모호,HIP,1cm의 자존심,b,KGK
보기 중 빈칸에 들어갈 말로 알맞은 것을 고르시오. ### 참고:ITZY의 리더는 [BLANK]입니다.,유나,지효,채연,예지,채령,d,KGK
보기 중 빈칸에 들어갈 말로 알맞은 것을 고르시오. ### 참고:슈퍼주니어의 마마시타 뮤직비디오에서 멤버 시원을 쏜 사람은 [BLANK]입니다.,이특,규현,려욱,희철,은혁,a,KGK
보기 중 빈칸에 들어갈 말로 알맞은 것을 고르시오. ### 참고:[BLANK]는 데이식스 원필이 밴드에서 연주하는 악기입니다.,꽹과리,드럼,베이스,기타,키보드,e,KGK
다음은 어느 그룹에 대한 이야기입니까? ### 참고:걸그룹 중 음악방송에서 가장 많이 1위를 차지한 그룹,레드벨벳,엔믹스,트와이스,에스파,뉴진스,c,KGK
다음은 어느 아티스트에 대한 이야기입니까? ### 참고:방탄소년단 멤버 중 유튜브에서 역대 가장 많이 본 팬캠 조회수를 기록한 멤버,진,뷔,RM,지민,슈가,b,KGK
다음은 어느 아티스트에 대한 이야기입니까? ### 참고:2022년 뮤직뱅크에서 '내귀에 캔디' 커버 공연을 한 아이돌 남매,형원&지은,원영&성훈,은채&채민,수빈&아린,문빈&수아,e,KGK
보기 중 빈칸에 들어갈 말로 알맞은 것을 고르시오. ### 참고:투모로우바이투게더의 팬덤명은 [BLANK]입니다.,모아,에리,아미,샤월,캐럿,a,KGK
보기 중 빈칸에 들어갈 말로 알맞은 것을 고르시오. ### 참고:엑소 기존 멤버 12명이 모두 포함된 마지막 뮤직비디오는 [BLANK] 입니다.,늑대와미녀,으르렁,럽미라잇,중독,마마,d,KGK
보기 중 빈칸에 들어갈 말로 알맞은 것을 고르시오. ### 참고:뉴진즈의 첫 번째 EP 커버 아트로 사용되는 동물은 [BLANK] 입니다.,곰,토끼,거미,강아지,고양이,b,KGK
보기 중 빈칸에 들어갈 말로 알맞은 것을 고르시오. ### 참고:스트레이 키즈 '백도어' 뮤직비디오에 등장하는 현진의 머리 색은 [BLANK] 입니다.,노랑,파랑,핑크,검정,주황,c,KGK
다음은 어느 아티스트에 대한 이야기입니까? ### 참고:소녀시대 멤버 중 데뷔 전 연습생 기간이 가장 짧은 멤버,윤아,태연,써니,유리,서현,c,KGK
다음은 어느 아티스트에 대한 이야기입니까? ### 참고:2019년 MAMA에서 박진영과 화사의 무대에 대한 반응으로 화제가 된 GOT7 멤버,진영,JB,잭슨,뱀뱀,유겸,c,KGK
다음은 어느 아티스트에 대한 이야기입니까? ### 참고:춤 스튜디오의 '이달의 아티스트' 첫 수상자,카이,채령,채연,로제,셔누,c,KGK
다음은 어느 그룹에 대한 이야기입니까? ### 참고:1996년 SM 엔터테인먼트 소속으로 데뷔한 첫 번째 그룹,젝스키스,서태지와 아이들,H.O.T.,룰라,슈퍼주니어,c,KGK
다음은 어느 그룹에 대한 이야기입니까? ### 참고:2022년 'Ring the Alarm'으로 컴백한 남녀공학 그룹,서태지와 아이들,룰라,KARD,COOL,빅뱅,c,KGK
보기 중 빈칸에 들어갈 말로 알맞은 것을 고르시오. ### 참고:2003년 동방신기의 데뷔곡 이름은 [BLANK]입니다.,주문,풍선,허그,Love in the Ice,Share The World,c,KGK
다음은 어느 아티스트에 대한 이야기입니까? ### 참고:배드 얼라이브' 프린세스 버전 댄스 연습 영상에서 라푼젤로 분장한 WayV 멤버,쿤,텐,헨데리,윈윈,샤오쥔,c,KGK
보기 중 빈칸에 들어갈 말로 알맞은 것을 고르시오. ### 참고:ENHYPEN이 결성한 서바이벌 리얼리티 쇼의 이름은 [BLANK]입니다.,엔하이픈쇼,몬먹어도고,아이랜드,고잉세븐틴,믹스앤매치,c,KGK
다음은 어느 아티스트에 대한 이야기입니까? ### 참고:아이유가 발표한 노래 25에 피처링한 아티스트,지드래곤,슈가,유인나,박재범,임슬옹,a,KGK
다음은 어느 아티스트에 대한 이야기입니까? ### 참고:레드벨벳의 공식 데뷔 후 추가된 멤버,웬디,슬기,조이,아이린,예리,e,KGK
보기 중 빈칸에 들어갈 말로 알맞은 것을 고르시오. ### 참고:블랙핑크의 뮤직비디오 중 유튜브에서 가장 높은 조회수를 기록한 뮤직비디오는 [BLANK]입니다.,Kill This Love,뚜두뚜두,Pink Venom,불장난,마지막처럼,b,KGK
보기 중 빈칸에 들어갈 말로 알맞은 것을 고르시오. ### 참고:아이콘의 응원봉 공식 이름은 [BLANK]입니다.,아미밤,캐럿봉,콘배트,에리디봉,샤팅스타,c,KGK
보기 중 빈칸에 들어갈 말로 알맞은 것을 고르시오. ### 참고:완전 흑백으로 촬영된 위너 뮤직비디오는 [BLANK]입니다.,ISLAND,공허해,끼부리지마,Really Really,LOVE ME LOVE ME,d,KGK
다음은 어느 그룹에 대한 이야기입니까? ### 참고:MAMA 2010에서 '올해의 아티스트' 수상,슈퍼주니어,엔믹스,2NE1,아이브,뉴진스,c,KGK
다음은 어느 아티스트에 대한 이야기입니까? ### 참고:2022년 기준 KOMCA 노래 크레딧이 가장 많은 K-Pop 아티스트,우지,라비,후이,JB,방찬,b,KGK
다음은 어느 그룹에 대한 이야기입니까? ### 참고:퀸덤의 두 번째 시즌에서 우승한 그룹,마마무,효린,우주소녀,이달의소녀,베리베리,c,KGK
보기 중 빈칸에 들어갈 말로 알맞은 것을 고르시오. ### 참고:그룹 세븐틴의 멤버는 [BLANK]명 입니다.,10,12,13,8,9,c,KGK
다음은 어느 아티스트에 대한 이야기입니까? ### 참고:ATEEZ의 막내,홍중,산,종호,윤호,우영,c,KGK
보기 중 빈칸에 들어갈 말로 알맞은 것을 고르시오. ### 참고:글로리아 게이너의 '아이 윌 서바이브'를 샘플링한 IVE 노래는 [BLANK]입니다.,Love Dive,After Like,Kitsch,Eleven,I AM,b,KGK
다음은 어느 아티스트에 대한 이야기입니까? ### 참고:K-Pop 아티스트가 도쿄 돔에서 공연하도록 초대받은 최초의 인물,블랙핑크,빅뱅,비,엑소,방탄,c,KGK
다음은 어느 아티스트에 대한 이야기입니까? ### 참고:샤이니의 '리플레이' 뮤직비디오에 등장하는 f(x) 멤버,크리스탈,엠버,아이린,빅토리아,슬기,d,KGK
다음은 어느 아티스트에 대한 이야기입니까? ### 참고:BtoB 멤버 중 최초로 솔로 데뷔를 한 멤버,육성재,서은광,이창섭,임현식,이민혁,c,KGK
다음은 어느 아티스트에 대한 이야기입니까? ### 참고:던던' 뮤직비디오에 가장 먼저 등장하는 에버글로우 멤버,아샤,이렌,시현,미아,온다,b,KGK
보기 중 빈칸에 들어갈 말로 알맞은 것을 고르시오. ### 참고:많은 K-Pop 아이돌들이 멀티 스포츠 경기에 출전하는 TV 프로그램의 이름은 [BLANK]입니다.,주간아이돌,아이돌룸,아이돌 스타 육상 선수권 대회(ISAC),전지적 참견시점,아는형님,c,KGK
다음은 어느 아티스트에 대한 이야기입니까? ### 참고:2014년 MMA에서 '올해의 노래상'을 수상한 아티스트,태양,세븐틴,엑소,소녀시대,슈퍼주니어,a,KGK
보기 중 빈칸에 들어갈 말로 알맞은 것을 고르시오. ### 참고:아스트로 팬클럽의 공식 색상은 [BLANK]입니다.,펄블랙,펄버건디,스페이스 바이올렛 & 비비드 플럼,플레임 오렌지,아주르 & 에메랄드,c,KGK
다음은 어느 그룹에 대한 이야기입니까? ### 참고:버라이어티 쇼 주간 아이돌에 처음 출연한 아이돌 그룹,틴탑,인피니트,동방신기,블락비,유키스,b,KGK
보기 중 빈칸에 들어갈 말로 알맞은 것을 고르시오. ### 참고:2020년 뮤직뱅크 공연 당시 00z 라인이 커버한 곡은 [BLANK]입니다.,아이스크림케이크,행복,Psyco,빨간맛,Feel My Rhythm,c,KGK
보기 중 빈칸에 들어갈 말로 알맞은 것을 고르시오. ### 참고:NCT의 서브 유닛은 [BLANK]개 입니다.,1,2,3,4,5,d,KGK
다음은 어느 그룹에 대한 이야기입니까? ### 참고:K-pop 아티스트 중 미국 빌보드 핫 100에 처음으로 등장한 그룹,비스트,엠블랙,원더걸스,소녀시대,아이유,c,KGK
"보기 중 빈칸에 들어갈 말로 알맞은 것을 고르시오. ### 참고:하이라이트는 2016년에 회사를 옮기면서 그룹의 이름을 바꿨으며, 원래 그룹명은 [BLANK]입니다.",틴탑,비스트,씨엔블루,멜로망스,포스트맨,b,KGK
다음은 어느 그룹에 대한 이야기입니까? ### 참고:2013년 데뷔한 폴라리스 엔터테인먼트의 걸그룹 이름은?,스테이씨,볼빨간사춘기,레이디스 코드,EXID,애프터스쿨,c,KGK
보기 중 빈칸에 들어갈 말로 알맞은 것을 고르시오. ### 참고:K-Pop 아이돌 그룹은 현재  [BLANK] 세대까지 존재합니다.,1,2,3,4,5,d,KGK
다음은 어느 아티스트에 대한 이야기입니까? ### 참고:그룹활동을 한 적이 없는 걸스 온 탑 멤버,효연,태연,보아,윈터,슬기,c,KGK
보기 중 빈칸에 들어갈 말로 알맞은 것을 고르시오. ### 참고:멤버의 팬캠 중 하나가 입소문이 난 후 EXID가 해체되는 것을 막아준 곡은 [BLANK]입니다.,우주를 줄게,Marry Me,롤린,위 아래,Timeless,d,KGK
보기 중 빈칸에 들어갈 말로 알맞은 것을 고르시오. ### 참고:2021년 이전에 발표된 한국 뮤직비디오 중 유튜브에서 가장 높은 조회수를 기록하는 K-Pop 뮤직비디오는 [BLANK]입니다.,불타오르네,마지막처럼,강남스타일,TT,뚜두뚜두,c,KGK
다음 중 봉준호 감독의 작품이 아닌 것은? ### 참고:nan,기생충,해무,헤어질 결심,마더,도쿄!,c,KGK
다음 중 16부작 드라마인 것은? ### 참고:nan,상속자들,W (더블유),피노키오,꽃보다 남자,닥터스,b,KGK
다음 중 넷플릭스 오리지널 콘텐츠가 아닌 것은? ### 참고:nan,보건교사 안은영,수리남,더 글로리,마이 네임,안나,e,KGK
