question,a,b,c,d,e,answer,split
"한국의 예절에 맞는 행동을 한 사람은 누구입니까?  ### 참고: 한국에서는 나이가 많은 사람 앞에서 지켜야 할 예절이 많습니다. 먼저 어른에게는 높임말로 이야기해야 합니다. ㉠ 어른 앞에서 술은 마실 수 있지만 담배는 피울 수 없습니다. 술을 마실 때에도 특별한 예절이 있습니다. 어른 앞에서 술을 마실 때는 똑바로 쳐다보면서 마시지 않고, 몸을 조금 옆으로 돌려서 마셔야 합니다. 그리고 식사할 때는 어른이 먼저 식사를 시작한 후에 먹어야 합니다.",정훈: 아버지와 함께 술을 마셨습니다.,쏘반: 사장님께 반말로 이야기했습니다.,바트: 어른보다 먼저 먹기 시작했습니다.,막심: 할아버지와 함께 담배를 피웠습니다.,,a,RC
"<빈칸>에 들어갈 말로 알맞은 것은 무엇입니까?  ### 참고: 한국에서는 나이가 많은 사람 앞에서 지켜야 할 예절이 많습니다. 먼저 어른에게는 높임말로 이야기해야 합니다. <빈칸> 어른 앞에서 술은 마실 수 있지만 담배는 피울 수 없습니다. 술을 마실 때에도 특별한 예절이 있습니다. 어른 앞에서 술을 마실 때는 똑바로 쳐다보면서 마시지 않고, 몸을 조금 옆으로 돌려서 마셔야 합니다. 그리고 식사할 때는 어른이 먼저 식사를 시작한 후에 먹어야 합니다.",그래서,그리고,그러면,그러니까,,b,RC
<빈칸>에 들어갈 가장 알맞은 것을 고르십시오.  ### 참고: 밖에 비가 옵니다. <빈칸>이/가 없습니다.,공책,구두,모자,우산,,d,RC
<빈칸>에 들어갈 가장 알맞은 것을 고르십시오.  ### 참고: 어제는 빵집에 갔어요. <빈칸>에서 케이크를 샀어요,여기,어디,거기,저기,,c,RC
<빈칸>에 들어갈 가장 알맞은 것을 고르십시오.  ### 참고: 가: 내일 <빈칸> 휴가예요. 나: 정말요? 뭐 할 거예요?,에서,동안,마다,까지,,d,RC
"<빈칸>에 들어갈 가장 알맞은 것을 고르십시오.  ### 참고: 가: 이 운동화 한 <빈칸>에 얼마입니까? 나: 20,000원입니다.",켤레,상자,마리,자루,,a,RC
<빈칸>에 들어갈 가장 알맞은 것을 고르십시오.  ### 참고: 가: 이 음식은 어떻게 해요? 나: 날씨가 더우니까 꼭 냉장고에 <빈칸>.,먹으세요,먹으세요,버리세요,찾으세요,,b,RC
<빈칸>에 들어갈 가장 알맞은 것을 고르십시오.  ### 참고: 가: 사계절 중 무슨 계절을 좋아해요? 나: 봄이요. 봄은 <빈칸> 좋아해요.,더워서,추워서,따뜻해서,차가워서,,c,RC
<빈칸>에 들어갈 가장 알맞은 것을 고르십시오.  ### 참고: 요리하기 전에는 손을 깨끗하게 <빈칸> 합니다.,끼어야,감아야,빨아야,씻어야,,d,RC
<빈칸>에 들어갈 가장 알맞은 것을 고르십시오.  ### 참고: 저는 영어<빈칸> 한국어를 더 잘합니다.,같이,보다,에게,에서,,b,RC
다음은 무엇에 대한 이야기입니까?  ### 참고: 저는 강아지를 좋아합니다. 여자 친구는 고양이를 좋아합니다.,동물,과일,특기,버릇,,a,RC
다음의 내용과 같은 것은 무엇입니까?  ### 참고: 저는 매일 학생 식당에 갑니다. 학생 식당 음식은 싸고 맛있습니다. 가끔 중국 음식과 비슷한 반찬도 먹을 수 있습니다. 그리고 학생 식당 아주머니도 친절합니다.,저는 가끔 학생 식당에 갑니다.,학생 식당 음식은 맛이 없습니다.,학생 식당에서 중국 음식을 팝니다.,학생 식당의 아주머니는 친절한 사람입니다.,,d,RC
<빈칸>에 들어갈 말로 알맞은 것은 무엇입니까?  ### 참고: 저는 지난여름에 기차 여행을 다녀왔습니다. 저는 혼자 여행하면서 경치를 <빈칸> 것을 아주 좋아합니다.,가는,듣는,보는,자는,,c,RC
이 사람은 한 시에 어디로 갑니까?  ### 참고: 저는 지금 한국어를 공부합니다. 월요일부터 금요일까지 한국어를 배우러 학교에 갑니다. 아침 9시부터 오후 1시까지 한국어 수업입니다. 수업이 끝난 다음에 점심을 먹습니다. 점심을 먹은 후에 도서관에 갑니다. 세 시간 동안 한국어 공부를 합니다. 빨리 한국어를 잘해서 대학교에 입학하고 싶습니다.,교실,식당,기숙사,도서관,,b,RC
이 글의 내용과 같은 것은 무엇입니까?  ### 참고: 저는 지금 한국어를 공부합니다. 월요일부터 금요일까지 한국어를 배우러 학교에 갑니다. 아침 9시부터 오후 1시까지 한국어 수업입니다. 수업이 끝난 다음에 점심을 먹습니다. 점심을 먹은 후에 도서관에 갑니다. 세 시간 동안 한국어 공부를 합니다. 빨리 한국어를 잘해서 대학교에 입학하고 싶습니다.,이 사람의 직업은 대학생입니다.,이 사람은 하루에 세 시간만 공부를 합니다.,이 사람은 도서관에 가기 전에 점심을 먹습니다.,이 사람은 월요일과 금요일에 한국어를 배웁니다.,,c,RC
<빈칸>에 들어갈 말로 알맞은 것은 무엇입니까?  ### 참고: 지난 주말에 친구들과 함께 계룡산에 다녀왔습니다. 사실 저는 등산을 좋아하지 않습니다. <빈칸> 산에 가고 싶지 않았습니다. 계속 고민하다가 저만 안 갈 수 없어서 가기로 했습니다. 날씨가 정말 좋았습니다. 등산하는 것이 힘들었지만 모두 정상까지 올라갔습니다. 산에 꽃이 많이 피어서 무척 아름다웠습니다. 우리는 사진을 많이 찍었습니다.,그럼,그래서,그런데,그렇지만,,b,RC
이 사람은 왜 산에 갔습니까?  ### 참고: 지난 주말에 친구들과 함께 계룡산에 다녀왔습니다. 사실 저는 등산을 좋아하지 않습니다. ㉠ 산에 가고 싶지 않았습니다. 계속 고민하다가 저만 안 갈 수 없어서 가기로 했습니다. 날씨가 정말 좋았습니다. 등산하는 것이 힘들었지만 모두 정상까지 올라갔습니다. 산에 꽃이 많이 피어서 무척 아름다웠습니다. 우리는 사진을 많이 찍었습니다.,날씨가 정말 좋아서,사진을 찍고 싶어서,친구들이 모두 가서,산에 꽃이 많이 피어서,,c,RC
<빈칸>에 들어갈 가장 알맞은 것을 고르십시오.  ### 참고: 저는 올해 열아홉 살입니다. <빈칸>에 스무 살이 됩니다.,내년,작년,저녁,나이,,a,RC
<빈칸>에 들어갈 가장 알맞은 것을 고르십시오.  ### 참고: 저는 날마다 아침 5시에 일어나요. <빈칸> 일어나서 운동을 하면 기분이 좋아요.,자주,벌써,일찍,많이,,c,RC
<빈칸>에 들어갈 가장 알맞은 것을 고르십시오.  ### 참고: 가: 사무실 전화번호 좀 가르쳐 주세요. 나: 730-0206<빈칸>이에요.,장,년,번,분,,c,RC
<빈칸>에 들어갈 가장 알맞은 것을 고르십시오.  ### 참고: 가: 공원이 <빈칸> 있어요? 나: 학교 근처에 있어요.,어디에,무엇에,어떻게,누구에,,a,RC
다음은 무엇에 대한 이야기입니까?  ### 참고: 저는 딸기를 제일 좋아합니다. 아버지는 포도를 제일 좋아합니다.,나라,과일,식물,나이,,b,RC
"다음의 내용과 다른 것은 무엇입니까?  ### 참고: 저는 내일부터 3박 4일 동안 친구들과 여행을 갑니다. 한국에서 하는 첫 번째 여행입니다. 첫날은 기차를 타고, 둘째 날은 배를 탈 겁니다. 배를 타는 것은 처음이어서 조금 무섭습니다.",매일 기차를 탈 겁니다.,배를 타 본 적이 없습니다.,4일간 친구들과 함께 있습니다.,한국에서 처음 가는 여행입니다.,,c,RC
"<빈칸>에 들어갈 말로 알맞은 것은 무엇입니까?  ### 참고: 서울에는 재미있는 박물관이 많이 있습니다. 서울역 옆에는 철도 박물관이 있습니다. 그리고 김치 박물관, 어린이 박물관도 있습니다. 시간이 있으면 박물관을 <빈칸> 하고 싶습니다.",구경,사랑,연락,전시,,a,RC
"사람들은 왜 모자를 쓰고 다닙니까?  ### 참고: 베트남 거리에는 자동차보다 오토바이와 자전거가 더 많습니다. 베트남 사람들은 오토바이나 자전거로 출퇴근을 하고, 학생들도 자전거로 학교에 다니기 때문입니다. 그리고 거리에는 모자를 쓰고 다니는 사람들이 많은데, 이것은 햇빛이 강하기 때문입니다. 또 오토바이의 매연 때문에 마스크를 쓴 사람들도 많이 볼 수 있습니다",매연 때문에,위험하기 때문에,날씨가 춥기 때문에,햇빛이 강하기 때문에,,d,RC
"이 글의 내용과 같은 것은 무엇입니까?  ### 참고: 베트남 거리에는 자동차보다 오토바이와 자전거가 더 많습니다. 베트남 사람들은 오토바이나 자전거로 출퇴근을 하고, 학생들도 자전거로 학교에 다니기 때문입니다. 그리고 거리에는 모자를 쓰고 다니는 사람들이 많은데, 이것은 햇빛이 강하기 때문입니다. 또 오토바이의 매연 때문에 마스크를 쓴 사람들도 많이 볼 수 있습니다",자동차가 오토바이보다 더 많습니다.,자동차에서 나오는 매연이 심합니다.,자전거를 탈 때 마스크를 써야 합니다.,오토바이로 회사에 가는 사람들이 많습니다.,,d,RC
"한국의 전통 음료수에 대한 설명으로 맞는 것은 무엇입니까?  ### 참고: 여러분은 어떤 음료수를 좋아하십니까? 한국 사람들은 옛날부터 건강에 좋은 음료수를 마셨습니다. 인삼이나 대추, 생강, 유자 등을 끓여서 마셨습니다. 날씨가 더울 때는 차게 해서 마시기도 했습니다. 이런 전통 음료수는 건강에도 좋고 병을 치료하기도 합니다. ㉠ 사람들은 이런 음료수를 약이라고 생각했습니다. 지금도 많은 사람들이 이런 음료수를 마시고 있습니다.",항상 뜨겁게 해서 마십니다.,아픈 사람만 마시는 것입니다.,건강에 좋고 병을 치료합니다.,요즘에는 별로 마시지 않습니다.,,c,RC
"<빈칸>에 들어갈 말로 알맞은 것은 무엇입니까?  ### 참고: 여러분은 어떤 음료수를 좋아하십니까? 한국 사람들은 옛날부터 건강에 좋은 음료수를 마셨습니다. 인삼이나 대추, 생강, 유자 등을 끓여서 마셨습니다. 날씨가 더울 때는 차게 해서 마시기도 했습니다. 이런 전통 음료수는 건강에도 좋고 병을 치료하기도 합니다. <빈칸> 사람들은 이런 음료수를 약이라고 생각했습니다. 지금도 많은 사람들이 이런 음료수를 마시고 있습니다.",그러면,그래서,그런데,그렇지만,,b,RC
다음의 글은 어디에서 볼 수 있습니까? 알맞은 것을 고르십시오.  ### 참고: 회의 중,사무실,화장실,수영장,운동장,,a,RC
다음의 글은 어디에서 볼 수 있습니까? 알맞은 것을 고르십시오.  ### 참고: 사진을 찍지 마십시오.,공원,동물원,박물관,체육관,,c,RC
다음의 글은 무엇에 대한 이야기입니까? 알맞은 것을 고르십시오.  ### 참고: 저는 스물일곱 살이고 언니는 서른 살입니다.,숫자,나이,순서,생일,,b,RC
다음의 글은 무엇에 대한 이야기입니까? 알맞은 것을 고르십시오.  ### 참고: 저는 금요일 오전에는 미술관에 가고 오후에는 쇼핑을 할 겁니다.,계획,시간,약속,장소,,a,RC
다음의 글은 무엇에 대한 이야기입니까? 알맞은 것을 고르십시오.  ### 참고: 저는 등산을 좋아하고 제 친구는 여행을 좋아합니다.,관광,운동,건강,취미,,d,RC
"다음의 내용을 보고 맞는 것을 고르십시오.  ### 참고: 하 나 슈 퍼(고객용)우유 2 계란 1 설탕 1 밀가루 1 --------------------------------총합13,700원",밀가루가 제일 쌉니다.,계란보다 설탕이 비쌉니다.,"우유는 한 개에 5,400원입니다.",하나 슈퍼에서 물건을 샀습니다.,,d,RC
"다음의 내용을 보고 맞는 것을 고르십시오.  ### 참고: 기 차 표대전 ➪ 서울08월 25일 13:55 ➪14:55KTX 426 열차일반 13호차 10A23,700원",이 기차는 오전에 출발합니다.,한 사람에 이만 삼천칠백 원입니다.,대전에서 서울까지 두 시간 걸립니다.,서울에 한 시 오십오 분에 도착합니다.,,b,RC
다음의 내용을 보고 맞는 것을 고르십시오.  ### 참고: < 안 내 >여름 휴가: 7.28(월) ~ 8.2(토)* 이 기간에는 사거리 옆 서울치과를 이용하세요.이번 주 병원 근무 시간: 오전 9시 반 ~ 7시(이번 주만 한 시간 더 늦게까지 문을 엽니다.)사랑병원,이 병원은 사거리 옆에 있습니다.,이 병원은 보통 7시까지 치료합니다.,이 병원은 눈을 치료하는 병원입니다.,이 병원은 다음 주에 문을 열지 않습니다.,,d,RC
"다음 글을 읽고 알맞은 것을 고르십시오.   ### 참고: 오늘은 고등학교 졸업식입니다. 부모님께서 주신 꽃다발을 들고 사진을 찍었습니다. 친구들, 선생님과도 사진을 찍었습니다. 3년 동안 함께 공부한 친구들이 많이 그리울 겁니다.",나는 오늘부터 고등학생입니다.,나는 친구들이 보고 싶을 겁니다.,나는 선생님의 사진을 찍었습니다.,나는 부모님께 꽃다발을 드렸습니다.,,b,RC
다음 글을 읽고 알맞은 것을 고르십시오.   ### 참고: 한국에서는 식사할 때 지켜야 할 것이 몇 가지 있습니다. 어른들과 식사를 할 때에는 어른들이 먼저 수저를 드신 후에 식사를 해야 합니다. 그릇을 손에 들고 먹지 않고 숟가락과 젓가락을 같이 들고 사용하지 않습니다. 그리고 밥을 먹으면서 큰 소리로 이야기하지 않습니다.,어른보다 먼저 밥을 먹지 않습니다.,밥을 먹으면서 이야기를 하면 안 됩니다.,식사할 때 그릇을 손에 들고 먹어야 합니다.,식사 중에 숟가락과 젓가락을 함께 들고 먹습니다.,,a,RC
다음 글을 읽고 <보기>의 문장이 들어갈 알맞은 곳을 고르십시오.  ### 참고: <보 기>제주도에서 드라마나 영화도 많이 찍기 때문입니다.제주도는 한국의 남쪽에 있는 섬입니다. (     가 ) 아름다운 경치와 따뜻한 날씨 때문에 관광객들이 많습니다. (     나 ) 한국의 신혼부부들도 신혼여행을 많이 가는 곳입니다. (     다 ) 요즈음은 드라마나 영화를 찍은 장소를 보려는 관광객들이 점점 늘고 있습니다. (     라 ) 여러분도 제주도에 한번 가 보십시오.,(가),(나),(다),(라),,d,RC
다음 글을 읽고 <보기>의 문장이 들어갈 알맞은 곳을 고르십시오.  ### 참고: <보 기>그래서 항상 농구 연습을 합니다.제 딸은 시간이 있으면 운동장에 갑니다. (     가 ) 운동장에서 하루 종일 농구를 합니다. (   나) 제 딸의 꿈은 농구 선수입니다. (     다 ) 처음에는 운동이 너무 힘든 것 같아서 반대했지만지금은 이해합니다. (     라 ) 제 딸이 꼭 좋은 농구 선수가 되었으면 좋겠습니다.,(가),(나),(다),(라),,c,RC
이 글의 제목으로 알맞은 것을 고르십시오.  ### 참고: 많은 사람들이 수영을 할 때 준비 운동을 하지 않습니다. 하지만 수영을 하기 전에는 반드시 준비운동을 해야 합니다. 그렇지 않으면 수영을 하다가 물에서 사고가 날 수도 있습니다. 물에 들어가기 전에 먼저 가벼운 운동을 해서 몸을 따뜻하게 해야 합니다. 준비 운동을 한 다음에 물에 들어가 기 전에 먼저 가벼운 운동을 해서 몸을 따뜻하게 해야 합니다. 준비 운동을 한 다음에 물에 들어가면 안전하게 운동을 할 수 있습니다.,수영을 하는 이유,수영장에 가는 방법,준비 운동을 하는 이유,준비 운동을 하는 방법,,c,RC
이 글의 내용과 같지 않은 것을 고르십시오.  ### 참고: 많은 사람들이 수영을 할 때 준비 운동을 하지 않습니다. 하지만 수영을 하기 전에는 반드시 준비운동을 해야 합니다. 그렇지 않으면 수영을 하다가 물에서 사고가 날 수도 있습니다. 물에 들어가기 전에 먼저 가벼운 운동을 해서 몸을 따뜻하게 해야 합니다. 준비 운동을 한 다음에 물에 들어가 기 전에 먼저 가벼운 운동을 해서 몸을 따뜻하게 해야 합니다. 준비 운동을 한 다음에 물에 들어가면 안전하게 운동을 할 수 있습니다.,준비 운동을 하면 몸이 따뜻해집니다.,수영하기 전에는 준비 운동이 필요합니다.,준비 운동을 하지 않으면 사고가 날 수 있습니다.,사람들은 보통 수영하기 전에 준비 운동을 잘 합니다.,,d,RC
<빈칸>에 들어갈 알맞은 것을 고르십시오.  ### 참고: 인터넷은 사람들의 생활을 많이 바꾸었습니다. 그 중의 하나는 집에서 많은 일을 할 수 있게 해준 것입니다. 전에는 편지를 보내려면 우체국에 꼭 가야 했지만 지금은 이메일을 보내면 됩니다. 또 물건을 사러 꼭 시장이나 백화점에 가지 않아도 됩니다. 인터넷으로 편하게 집에서 주문을 할수 있습니다. 돈을 보내고 싶을 때에도 은행에 갈 필요가 없습니다. 인터넷 때문에 사람들의 생활은 점점 <빈칸>.,복잡해지고 있습니다,편리해지고 있습니다,안전해지고 있습니다,피곤해지고 있습니다,,b,RC
이 글의 내용과 같은 것을 고르십시오.   ### 참고: 인터넷은 사람들의 생활을 많이 바꾸었습니다. 그 중의 하나는 집에서 많은 일을 할 수 있게 해준 것입니다. 전에는 편지를 보내려면 우체국에 꼭 가야 했지만 지금은 이메일을 보내면 됩니다. 또 물건을 사러 꼭 시장이나 백화점에 가지 않아도 됩니다. 인터넷으로 편하게 집에서 주문을 할수 있습니다. 돈을 보내고 싶을 때에도 은행에 갈 필요가 없습니다. 인터넷 때문에 사람들의 생활은 점점㉠.,지금은 은행이나 우체국에 안 갑니다.,이메일 때문에 편지를 쓸 필요가 없습니다.,집에서 일을 많이 해서 밖에 안 나가도 됩니다.,인터넷 때문에 사람들의 생활이 많이 달라졌습니다.,,d,RC
다음의 글은 어디에서 볼 수 있습니까? 알맞은 것을 고르십시오.  ### 참고: 조용히,공원,식당,도서관,백화점,,c,RC
다음의 글은 어디에서 볼 수 있습니까? 알맞은 것을 고르십시오.  ### 참고: 아이의 손을 잡고 타세요.,계단,택시,자전거,에스컬레이터,,d,RC
다음의 글은 무엇에 대한 이야기입니까? 알맞은 것을 고르십시오.  ### 참고: 친구와 싸웠습니다. 내가 먼저 전화했습니다.,사과,감사,소식,약속,,a,RC
다음의 글은 무엇에 대한 이야기입니까? 알맞은 것을 고르십시오.  ### 참고: 이번 학기가 끝났습니다. 앞으로 두 달 동안 수업이 없습니다. ,졸업,휴가,공부,방학,,d,RC
다음의 글은 무엇에 대한 이야기입니까? 알맞은 것을 고르십시오.  ### 참고: 저는 부산에서 태어났습니다. 고등학교 때까지 거기에서 살았습니다.,고향,취미,학교,나라,,a,RC
다음의 내용을 보고 다른 것을 고르십시오.  ### 참고: 노선번호107317 종착지대전역예정시간버스위치잠시 후 도착충남여자고등학교대전역동광장신흥동19분8분한밭도서관탄방네거리연극,버스 도착 예정 시간 안내입니다.,곧 107번 버스가 도착할 겁니다.,604번 버스는 19분 뒤에 탈 수 있습니다.,현재 317번 버스는 한밭도서관에 있습니다.,,c,RC
"다음의 내용을 보고 다른 것을 고르십시오.  ### 참고: “시장 사람들”♣ 기간: 20XX.09.12. ~ 20XX.11.30♣ 시간: 화~금 19시 / 토·일 15시, 19시♣ 장소: 소극장 공감♣ 요금: 20,000원",연극표는 이만 원입니다.,연극 제목은 “시장 사람들”입니다.,월요일에는 연극을 볼 수 없습니다.,주말에는 오후 3시와 저녁 9시에 연극을 볼 수 있습니다.,,d,RC
다음을 읽고 내용과 다른 것을 고르십시오.  ### 참고: << 알 림 >>오늘 금요 시장이 열립니다.싱싱한 과일과 채소를 싸게 팝니다. 생선도 있습니다.- 시간: 오전 9시 ∼ 오후 8시- 장소: 106동 분수대 앞우리 아파트 관리사무소,금요 시장은 우리 아파트에서 열립니다.,금요 시장에 가면 과일을 싸게 살 수 있습니다.,금요 시장은 오전 8시부터 이용할 수 있습니다.,금요 시장에 가려면 106동 분수대 앞으로 갑니다.,,c,RC
다음 글을 읽고 알맞은 것을 고르십시오.   ### 참고: 오늘 수업 시간에 고향 소개를 했습니다. 우리 반 친구들은 모두 고향이 달라서 다양한 이야기를들었습니다. 저는 우리 고향의 유명한 음식을 소개했습니다. 발표를 하면서 부모님 생각이 많이 났습니다.,우리 반 친구들은 고향의 음식을 소개했습니다.,저는 고향 소개를 하면서 부모님 생각을 했습니다.,친구들의 고향은 같지만 다양한 이야기를 했습니다.,수업 시간에 고향 이야기를 듣고 부모님 생각을 했습니다.,,b,RC
다음 글을 읽고 알맞은 것을 고르십시오.   ### 참고: 제 친구들은 노래 부르기를 좋아해서 노래방에 자주 갑니다. 노래방에 가면 친구들은 모두 가수같습니다. 노래도 잘 부르고 춤도 잘 춥니다. 저는 노래를 잘 부르지 못하지만 친구들의 노래를 듣고 구경하는 것은 좋습니다. ,저는 친구들과 노래 부르기를 좋아합니다.,저는 노래방에 가면 가수처럼 노래를 부릅니다.,저는 노래방에서 친구들의 노래를 듣고 구경합니다.,저는 친구들이 노래를 하면 춤을 추는 것이 좋습니다.,,c,RC
다음 글을 읽고 <보기>의 문장이 들어갈 알맞은 곳을 고르십시오.  ### 참고: <보 기>일본도 한국과 비슷합니다.한국 사람들은 숫자 ‘4’를 싫어합니다. (     가 ) ‘죽는다’는 뜻을 가진 한자(‘死’)와 발음이 비슷하기 때문입니다. (     나 ) 그래서 한국의 건물 중에는 4층이 없는 건물이 많습니다. (     다 ) 미국은 다릅니다. (     라 ) 미국의 건물 중에는 13층이 없는 건물이 많습니다.,(가),(나),(다),(라),,c,RC
"다음 글을 읽고 <보기>의 문장이 들어갈 알맞은 곳을 고르십시오.  ### 참고: <보 기>그런데 문제가 하나 있습니다.한 달 전에 여자 친구가 생겼습니다. (     가 ) 제 여자 친구는 성격도 좋고 얼굴도 예쁘고, 함께 이야기를 하면 재미있습니다. (     나 ) 제 여자 친구는 교환학생이라서 다음 달에 고향에 돌아갑니다. (     다 ) 저는 여자 친구와 헤어지고 싶지 않습니다. (     라 ) 그래서 저도 다음 학기에 교환학생 신청을 했습니다.",(가),(나),(다),(라),,b,RC
이 글의 제목으로 가장 알맞은 것을 고르십시오.  ### 참고: (                                        )저는 1년 전부터 바이올린을 배웠습니다. 지난주에 이 동네로 이사를 와서 새 선생님이 필요합니 저는 1년 전부터 바이올린을 배웠습니다. 지난주에 이 동네로 이사를 와서 새 선생님이 필요합니다. 일주일에 두 번 배우고 싶습니다. 평일 오후 7시 이후부터 하고 싶습니다. 오후 3시까지는 수업이 있으니까 문자메시지로 연락해 주십시오. 이선우 010-1711-2345,바이올린을 찾습니다.,바이올린을 가르쳐 줍니다.,바이올린 친구를 구합니다.,바이올린 선생님을 찾습니다.,,d,RC
이 글의 내용과 같은 것을 고르십시오.  ### 참고: (                                        )저는 1년 전부터 바이올린을 배웠습니다. 지난주에 이 동네로 이사를 와서 새 선생님이 필요합니 저는 1년 전부터 바이올린을 배웠습니다. 지난주에 이 동네로 이사를 와서 새 선생님이 필요합니다. 일주일에 두 번 배우고 싶습니다. 평일 오후 7시 이후부터 하고 싶습니다. 오후 3시까지는 수업이 있으니까 문자메시지로 연락해 주십시오. 이선우 010-1711-2345,선우는 1년 전에 이사를 했습니다.,선우는 1년 동안 바이올린을 배웠습니다.,선우는 오후 3시에만 연락할 수 있습니다.,선우는 일주일에 세 번 배우고 싶어 합니다.,,b,RC
"이 글의 종류는 무엇입니까?  ### 참고: 20XX년 12월 2일 / 날씨: ☀오늘 우리 반 친구들과 함께 스케이트장에 갔습니다. 우리 반에는 일본, 중국, 러시아 사람이 있습니다. 다른 나라 친구들은 모두 스케이트를 잘 탔습니다. 저는 스케이트를 처음(         ㉠). 우리 고향에는 눈이 오지 않아서 스케이트를 타지 않습니다. 처음에는 무서웠는데 친구들이 많이 도와줬습니다. 저는 몇 번 넘어졌지만 금방 잘 탈 수 있었습니다. 친구들과 같이 사진도 찍었습니다. 스케이트 타기는 정말 재미있었습니다. 고향 친구들에게 이메일을 쓸 때 사진도 같이 보낼 겁니다. 다음에 또 타고 싶습니다. ",광고,일기,메모,기사,,b,RC
이 글의 내용과 같지 않은 것을 고르십시오.  ### 참고: 친구들에게이번 학기가 금요일에 끝나는데 우리 같이 모여서 파티 하는 게 어때?목요일 오후에 파티를 하려고 해. 선생님도 오시기로 했어. 마리하고 해리와 내가 음식을 준비할 거야. 너희는 음악이나 음료수를 준비해 줄수 있어? 파티는 4시부터 시작하는데 우리는 한 시간 전에 모여서 준비하기로 했어. 혹시 시간이 되면 너희도 일찍 와서 도와 줘. 기다릴게.안나,파티는 목요일에 있습니다.,파티 준비는 4시부터 합니다.,해리는 음식을 준비할 겁니다.,"이번 학기는 금요일에 끝납니다.
 이번 학기는 금요일에 끝납니다.",,d,RC
이 글을 읽은 후에 할 수 있는 말이 아닌 것을 고르십시오.  ### 참고: 친구들에게이번 학기가 금요일에 끝나는데 우리 같이 모여서 파티 하는 게 어때?목요일 오후에 파티를 하려고 해. 선생님도 오시기로 했어. 마리하고 해리와 내가 음식을 준비할 거야. 너희는 음악이나 음료수를 준비해 줄수 있어? 파티는 4시부터 시작하는데 우리는 한 시간 전에 모여서 준비하기로 했어. 혹시 시간이 되면 너희도 일찍 와서 도와 줘. 기다릴게.안나,“나는 음료수를 준비해야지. 그런데 몇 명이 올까?”,“목요일 3시까지 학교에 가서 친구들을 도와줘야지.”,“안나가 음악을 준비하니까 듣고 싶은 음악을 말해야지.”,“카메라를 준비해서 우리 반 친구들과 같이 사진을 찍고 싶어.”,,c,RC
